uid,district,truename
1,Dúbravka,Alexyho
3,Staré Mesto,Americké nám.
4,Staré Mesto,Depo Hroboňova
5,Staré Mesto,Autobusová stanica
6,Ružinov,Astronomická
8,Ružinov,Bajkalská
9,Lamač,Bakošova
11,Nové Mesto,Bárdošova
12,Rača,Barónka
13,Podunajské Biskupice,Lieskovská cesta
14,Rača,Rybničná
15,Dúbravka,Bilíkova
16,Ružinov,Bočná
17,Podunajské Biskupice,Bodrocká
18,Ružinov,Bojnická
19,Karlova Ves,Borská
20,Petržalka,Bosákova
21,Karlova Ves,Botanická záhrada
22,Petržalka,Bradáčova
23,Ružinov,Brodná
24,Petržalka,Budatínska
25,Rača,Bukovinská
26,Ružinov,Bulharská
27,Petržalka,Bulíkova
28,Devínska Nová Ves,Bystrická
29,Petržalka,Bzovícka
30,Nové Mesto,Deviaty mlyn
31,Ružinov,Letisko P+R
32,Vrakuňa,Cintorín Vrakuňa
33,Staré Mesto,Ondrejský cintorín
34,Ružinov,Clementisova
36,Rača,Černockého
38,Staré Mesto,Červený kríž
41,Vajnory,Čierny chodník
42,Vrakuňa,Čiližská
43,Devínska Nová Ves,ČOV Dev. Nová Ves
44,Ružinov,ČOV Vlčie hrdlo
45,Nové Mesto,Čremchová
46,Staré Mesto,Čulenova
47,Čunovo,Čunovo
48,Čunovo,MiÚ Čunovo
49,Čunovo,"Čunovo, kostol"
50,Čunovo,Čunovské jazerá
51,Dúbravka,Záluhy
52,Ružinov,OC Rožňavská
54,Devínska Nová ves,Uhrovecká
55,Podunajské Biskupice,Devätinová
56,Devín,Hrad Devín
57,Devín,Slovanské nábr.
58,Devínska Nová Ves,Waitov lom
59,Záhorská Bystrica,Dievčí hrádok
60,Dúbravka,Dolné Krčace
61,Petržalka,Depo Petržalka
62,Petržalka,Kopčany
63,Ružinov,Domkárska
64,Nové Mesto,Mokrač
66,Petržalka,Starý háj
67,Nové Mesto,Drieňová
68,Dúbravka,Drobného
69,Staré Mesto,Búdková
70,Staré Mesto,Dubová
71,Vrakuňa,Dudvážska
72,Ružinov,Dulovo nám.
74,Petržalka,Dvory
76,Petržalka,Einsteinova
77,Petržalka,Ekonom. univerzita
78,Vrakuňa,Estónska
79,Petržalka,Farského
80,Staré Mesto,Blumentál
81,Dúbravka,Agátová
82,Ružinov,Gagarinova
83,Ružinov,Ivanská cesta
84,Ružinov,Haburská
85,Devín,Hájovňa
86,Nové Mesto,Hálkova
87,Petržalka,Hálova
88,Ružinov,Hanácka
89,Karlova Ves,Hany Meličkovej
90,Dúbravka,Harmincova
91,Rača,Hečkova
92,Ružinov,Herlianska
93,Staré Mesto,Hlavná stanica
95,Staré Mesto,Hodžovo nám.
96,Petržalka,Holíčska
97,Dúbravka,Homolova
98,Dúbravka,Horné Krčace
99,Staré Mesto,Horský park
100,Vajnory,Hospodárska
101,Staré Mesto,Hrad
102,Devínska Nová ves,Hradištná
104,Ružinov,Hraničná
105,Petržalka,Hrobákova
106,Staré Mesto,Hroboňova
107,Vrakuňa,Hronská
108,Rača,Hubeného
109,Staré Mesto,Hummelova
110,Nové Mesto,Husova
111,Rača,Hybešova
