alias,truename
alexyho,Alexyho
americkenam,Americké nám.
depohrobonova,Depo Hroboňova
autobusovastanica,Autobusová stanica
astronomicka,Astronomická
bajkalska,Bajkalská
bakosova,Bakošova
bardosova,Bárdošova
baronka,Barónka
lieskovskacesta,Lieskovská cesta
rybnicna,Rybničná
bilikova,Bilíkova
bocna,Bočná
bodrocka,Bodrocká
bojnicka,Bojnická
borska,Borská
bosakova,Bosákova
botanickazahrada,Botanická záhrada
bradacova,Bradáčova
brodna,Brodná
budatinska,Budatínska
bukovinska,Bukovinská
bulharska,Bulharská
bulikova,Bulíkova
bystricka,Bystrická
bzovicka,Bzovícka
deviatymlyn,Deviaty mlyn
letiskoparkandride,Letisko P+R
cintorinvrakuna,Cintorín Vrakuňa
ondrejskycintorin,Ondrejský cintorín
clementisova,Clementisova
cernockeho,Černockého
cervenykriz,Červený kríž
ciernychodnik,Čierny chodník
cilizska,Čiližská
covdevnves,ČOV Dev. Nová Ves
covvlciehrdlo,ČOV Vlčie hrdlo
cremchova,Čremchová
culenova,Čulenova
cunovo,Čunovo
miucunovo,MiÚ Čunovo
cunovokostol,"Čunovo, kostol"
cunovskejazera,Čunovské jazerá
zaluhy,Záluhy
ocroznavska,OC Rožňavská
uhrovecka,Uhrovecká
devatinova,Devätinová
hraddevin,Hrad Devín
slovanskenabr,Slovanské nábr.
waitovlom,Waitov lom
dievcihradok,Dievčí hrádok
dolnekrcace,Dolné Krčace
depopetrzalka,Depo Petržalka
kopcany,Kopčany
domkarska,Domkárska
mokrac,Mokrač
staryhaj,Starý háj
drienova,Drieňová
drobneho,Drobného
budkova,Búdková
dubova,Dubová
dudvazska,Dudvážska
dulovonam,Dulovo nám.
dvory,Dvory
einsteinova,Einsteinova
ekonomuniverzita,Ekonom. univerzita
estonska,Estónska
farskeho,Farského
blumental,Blumentál
agatova,Agátová
gagarinova,Gagarinova
ivanskacesta,Ivanská cesta
haburska,Haburská
hajovna,Hájovňa
halkova,Hálkova
halova,Hálova
hanacka,Hanácka
hanymelickovej,Hany Meličkovej
harmincova,Harmincova
heckova,Hečkova
herlianska,Herlianska
hlavnastanica,Hlavná stanica
hodzovonam,Hodžovo nám.
holicska,Holíčska
homolova,Homolova
hornekrcace,Horné Krčace
horskypark,Horský park
hospodarska,Hospodárska
hrad,Hrad
hradistna,Hradištná
hranicna,Hraničná
hrobakova,Hrobákova
hrobonova,Hroboňova
hronska,Hronská
hubeneho,Hubeného
hummelova,Hummelova
husova,Husova
hybesova,Hybešova
zavodna,Závodná
janskehony,Jánske hony
hyrosova,Hýrošova
chlumeckeho,Chlumeckého
ihriskova,Ihrisková
klientskecentrum,Klientske centrum
inovecka,Inovecká
vhrdlointernat,"V. hrdlo, internát"
ivanabukovcana,Ivana Bukovčana
planet,Planét
jancova,Jančova
janotova,Janotova
jarovce,Jarovce
jarovcezahrady,"Jarovce, záhrady"
jasovska,Jasovská
jeseniova,Jeséniova
jesenskeho,Jesenského
jiraskova,Jiráskova
jungmannova,Jungmannova
jurajovdvor,Jurajov dvor
jurigovonam,Jurigovo nám.
jurigrad,Jurigrad
kadlecik,Kadlečík
