uid,district,truename,alias
1,Dúbravka,Alexyho,alexyho
3,Staré Mesto,Americké nám.,americkenam
4,Staré Mesto,Depo Hroboňova,depohrobonova
5,Staré Mesto,Autobusová stanica,autobusovastanica
6,Ružinov,Astronomická,astronomicka
8,Ružinov,Bajkalská,bajkalska
9,Lamač,Bakošova,bakosova
11,Nové Mesto,Bárdošova,bardosova
12,Rača,Barónka,baronka
13,Podunajské Biskupice,Lieskovská cesta,lieskovskacesta
14,Rača,Rybničná,rybnicna
15,Dúbravka,Bilíkova,bilikova
16,Ružinov,Bočná,bocna
17,Podunajské Biskupice,Bodrocká,bodrocka
18,Ružinov,Bojnická,bojnicka
19,Karlova Ves,Borská,borska
20,Petržalka,Bosákova,bosakova
21,Karlova Ves,Botanická záhrada,botanickazahrada
22,Petržalka,Bradáčova,bradacova
23,Ružinov,Brodná,brodna
24,Petržalka,Budatínska,budatinska
25,Rača,Bukovinská,bukovinska
26,Ružinov,Bulharská,bulharska
27,Petržalka,Bulíkova,bulikova
28,Devínska Nová Ves,Bystrická,bystricka
29,Petržalka,Bzovícka,bzovicka
30,Nové Mesto,Deviaty mlyn,deviatymlyn
31,Ružinov,Letisko P+R,letiskoparkandride
32,Vrakuňa,Cintorín Vrakuňa,cintorinvrakuna
33,Staré Mesto,Ondrejský cintorín,ondrejskycintorin
34,Ružinov,Clementisova,clementisova
36,Rača,Černockého,cernockeho
38,Staré Mesto,Červený kríž,cervenykriz
41,Vajnory,Čierny chodník,ciernychodnik
42,Vrakuňa,Čiližská,cilizska
43,Devínska Nová Ves,ČOV Dev. Nová Ves,covdevnves
44,Ružinov,ČOV Vlčie hrdlo,covvlciehrdlo
45,Nové Mesto,Čremchová,cremchova
46,Staré Mesto,Čulenova,culenova
47,Čunovo,Čunovo,cunovo
48,Čunovo,MiÚ Čunovo,miucunovo
49,Čunovo,"Čunovo, kostol",cunovokostol
50,Čunovo,Čunovské jazerá,cunovskejazera
51,Dúbravka,Záluhy,zaluhy
52,Ružinov,OC Rožňavská,ocroznavska
54,Devínska Nová ves,Uhrovecká,uhrovecka
55,Podunajské Biskupice,Devätinová,devatinova
56,Devín,Hrad Devín,hraddevin
57,Devín,Slovanské nábr.,slovanskenabr
58,Devínska Nová Ves,Waitov lom,waitovlom
59,Záhorská Bystrica,Dievčí hrádok,dievcihradok
60,Dúbravka,Dolné Krčace,dolnekrcace
61,Petržalka,Depo Petržalka,depopetrzalka
62,Petržalka,Kopčany,kopcany
63,Ružinov,Domkárska,domkarska
64,Nové Mesto,Mokrač,mokrac
66,Petržalka,Starý háj,staryhaj
67,Nové Mesto,Drieňová,drienova
68,Dúbravka,Drobného,drobneho
69,Staré Mesto,Búdková,budkova
70,Staré Mesto,Dubová,dubova
71,Vrakuňa,Dudvážska,dudvazska
72,Ružinov,Dulovo nám.,dulovonam
74,Petržalka,Dvory,dvory
76,Petržalka,Einsteinova,einsteinova
77,Petržalka,Ekonom. univerzita,ekonomuniverzita
78,Vrakuňa,Estónska,estonska
79,Petržalka,Farského,farskeho
80,Staré Mesto,Blumentál,blumental
81,Dúbravka,Agátová,agatova
82,Ružinov,Gagarinova,gagarinova
83,Ružinov,Ivanská cesta,ivanskacesta
84,Ružinov,Haburská,haburska
85,Devín,Hájovňa,hajovna
86,Nové Mesto,Hálkova,halkova
87,Petržalka,Hálova,halova
88,Ružinov,Hanácka,hanacka
89,Karlova Ves,Hany Meličkovej,hanymelickovej
90,Dúbravka,Harmincova,harmincova
91,Rača,Hečkova,heckova
92,Ružinov,Herlianska,herlianska
93,Staré Mesto,Hlavná stanica,hlavnastanica
95,Staré Mesto,Hodžovo nám.,hodzovonam
96,Petržalka,Holíčska,holicska
97,Dúbravka,Homolova,homolova
98,Dúbravka,Horné Krčace,hornekrcace
99,Staré Mesto,Horský park,horskypark
100,Vajnory,Hospodárska,hospodarska
101,Staré Mesto,Hrad,hrad
102,Devínska Nová ves,Hradištná,hradistna
104,Ružinov,Hraničná,hranicna
105,Petržalka,Hrobákova,hrobakova
106,Staré Mesto,Hroboňova,hrobonova
107,Vrakuňa,Hronská,hronska
108,Rača,Hubeného,hubeneho
109,Staré Mesto,Hummelova,hummelova
110,Nové Mesto,Husova,husova
111,Rača,Hybešova,hybesova
112,Ružinov,Závodná,zavodna
113,Podunajské Biskupice,Jánske hony,janskehony
114,Staré Mesto,Hýrošova,hyrosova
115,Ružinov,Chlumeckého,chlumeckeho
116,Rača,Ihrisková,ihriskova
117,Ružinov,Klientske centrum,klientskecentrum
119,Staré Mesto,Inovecká,inovecka
120,Ružinov,"V. hrdlo, internát",vhrdlointernat
121,Devínska Nová Ves,Ivana Bukovčana,ivanabukovcana
122,Ružinov,Planét,planet
123,Staré Mesto,Jančova,jancova
124,Karlova ves,Janotova,janotova
125,Jarovce,Jarovce,jarovce
126,Jarovce,"Jarovce, záhrady",jarovcezahrady
127,Petržalka,Jasovská,jasovska
129,Nové Mesto,Jeséniova,jeseniova
130,Staré Mesto,Jesenského,jesenskeho
131,Petržalka,Jiráskova,jiraskova
132,Petržalka,Jungmannova,jungmannova
133,Nové mesto,Jurajov dvor,jurajovdvor
134,Karlova Ves,Jurigovo nám.,jurigovonam
135,Devín,Jurigrad,jurigrad
137,Devín,Kadlečík,kadlecik
138,Rača,Kadnárova,kadnarova
139,Staré Mesto,Centrum,centrum
140,Nové Mesto,Kameňolom,kamenolom
141,Staré Mesto,Kapucínska,kapucinska
142,Ružinov,Karadžičova,karadzicova
143,Karlova Ves,Kútiky,kutiky
144,Staré Mesto,Karpatská,karpatska
146,Podunajské Biskupice,Ketelec,ketelec
147,Ružinov,MiÚ Ružinov,miuruzinov
148,Lamač,Klanec,klanec
149,Nové mesto,Klenová,klenova
150,Nové Mesto,Klepáč,klepac
151,Nové Mesto,Koliba,koliba
152,Staré Mesto,Kollárovo nám.,kollarovonam
153,Petržalka,Kolmá,kolma
155,Podunajské Biskupice,Komárovská,komarovska
156,Rača,Komisárky,komisarky
157,Vajnory,Koniarkova,koniarkova
158,Petržalka,"Kopčany, sídlisko",kopcanysidlisko
159,Podunajské Biskupice,Korytnická,korytnicka
160,Ružinov,Košická,kosicka
161,Rusovce,Kovácsova,kovacsova
163,Staré Mesto,Kozia,kozia
164,Nové Mesto,Nemocnica Kramáre,nemocnicakramare
165,Ružinov,Krásna,krasna
168,Záhorská Bystrica,Krče,krce
169,Záhorská Bystrica,Pri Krematóriu,prikrematoriu1
170,Devín,K Zlatému rohu,kzlatemurohu
172,Petržalka,Kremnická,kremnicka
173,Staré Mesto,Krížna,krizna
174,Devínska Nová Ves,Krpáš,krpas
175,Karlova Ves,Dlhé diely,dlhediely
176,Nové Mesto,Slovany,slovany
177,Ružinov,Kulíškova,kuliskova
178,Petržalka,Kapitulský dvor,kapitulskydvor
179,Ružinov,Kvačalova,kvacalova
180,Karlova Ves,Nám. sv. Františka,namsvfrantiska
181,Staré Mesto,Lanfranconi,lafranconi
182,Petržalka,Lachova,lachova
183,Lamač,Lamač,lamac
184,Nové Mesto,Lanovka,lanovka
187,Nové Mesto,Bukva,bukva
188,Nové Mesto,Lesopark,lesopark
189,Ružinov,Letisko / Airport,letisko
191,Podunajské Biskupice,Lieskovec,lieskovec
192,Karlova Ves,Dúbravská cesta,dubravskacesta
193,Dúbravka,Lipského,lipskeho
194,Ružinov,Lodenica,lodenica
195,Rača,Rušňové depo I,rusnovedepo1
196,Rača,Rušňové depo II,rusnovedepo2
197,Nové Mesto,Lopenícka,lopenicka
198,Staré Mesto,Lovinského,lovinskeho
199,Petržalka,Ľubovnianska,lubovnianska
200,Petržalka,Lúčanka,lucanka
201,Ružinov,Lúčna,lucna
202,Petržalka,Lúky II,luky2
203,Petržalka,Lúky V,luky5
204,Petržalka,Tupolevova,tupolevova
205,Nové Mesto,Magnetová,magnetova
206,Nové Mesto,Magurská,magurska
207,Vrakuňa,Majerská,majerska
208,Staré Mesto,Malá scéna,malascena
209,Staré Mesto,Mariánska,marianska
210,Petržalka,Markova,markova
211,Ružinov,Martinský cintorín,martinskycintorin
212,Karlova Ves,Matejkova,matejkova
213,Nové Mesto,MiÚ Nové Mesto,miunovemesto
214,Ružinov,Maximiliána Hella,maximilianahella
215,Rača,Na pántoch,napantoch
218,Ružinov,Mierová,mierova
219,Nové Mesto,Mierová kolónia,mierovakolonia
220,Ružinov,Micherov majer,micherovmajer
221,Devínska Nová Ves,Milana Marečka,milanamarecka
222,Ružinov,Miletičova,mileticova
223,Ružinov,"Studená, zastávka",studenazastavka
224,Nové Mesto,Mladá garda,mladagarda
225,Ružinov,Mliekarenská,mliekarenska
226,Petržalka,Mlynarovičova,mlynarovicova
227,Devínska Nová Ves,Mlynská,mlynska
228,Ružinov,Malý trh,malytrh
229,Karlova Ves,Mokrohájska,mokrohajska
230,Karlova Ves,Riviéra,riviera
231,Devín,Pod Dev. Kobylou,poddevkobylou
233,Nové Mesto,OC Stará Vajnorská,ocstaravajnorska
234,Ružinov,Líščie nivy,liscienivy
235,Petržalka,Muchovo nám.,muchovonam
236,Devínska Nová Ves,Na Grbe,nagrbe
237,Devínska Nová Ves,Pri Sandbergu,prisandbergu
238,Rača,Na pasekách,napasekach
240,Karlova Ves,Nad lúčkami,nadluckami
241,Petržalka,OC Lúky,ocluky
242,Vajnory,"Vajnory, nadjazd",vajnorynadjazd
243,Podunajské Biskupice,Nákupná,nakupna
245,Nové Mesto,Nám. Biely kríž,nambielykriz
246,Petržalka,Nám. hraničiarov,namhraniciarov
247,Rača,Nám. A.Hlinku,namahlinku
248,Staré Mesto,Nám. Ľ. Štúra,namlstura
249,Devín,Cyril a Metod,cyrilametod
250,Staré Mesto,Prezident. záhrada,prezidentskazahrada
252,Nové Mesto,Nár. onkol. ústav,narodnyonkologickyustav
253,Petržalka,Nemocnica Antolská,nemocnicaantolska
254,Podunajské Biskupice,Nem. P. Biskupice,nempbiskupice
255,Ružinov,Nevädzová,nevadzova
256,Nové Mesto,Nobelova,nobelova
257,Nové Mesto,Nová doba,novadoba
258,Ružinov,Novohradská,novohradska
259,Devínska Nová Ves,Novoveská,novoveska
260,Devín,Nový kameňolom,novykamenolom
261,Staré Mesto,Most SNP,mostsnp
262,Rača,Malokrasňanská,malokrasnanska
263,Lamač,Hodonínska,hodoninska
264,Ružinov,DK Ružinov,dkruzinov
265,Dúbravka,Podvornice,podvornice
266,Nové Mesto,Kukučínova,kukucinova
267,Nové Mesto,Česká,ceska
268,Nové Mesto,Odborárska,odborarska
271,Ružinov,Ondrejovova,ondrejovova
272,Nové Mesto,Krahulčia,krahulcia
273,Vajnory,Osloboditeľská,osloboditelska
274,Rača,"Na pántoch, školy",napantochskoly
275,Rača,"Na pántoch, stred",napantochstred
276,Petržalka,Ovsište,ovsiste
277,Petržalka,Ovsištské nám.,ovsistskenam
278,Podunajské Biskupice,MiÚ P. Biskupice,miupbiskupice
279,Rača,žabí majer,zabimajer
280,Ružinov,Cvernovka,cvernovka
281,Staré Mesto,Kráľovské údolie,kralovskeudolie
282,Staré Mesto,Partizánska,partizanska
283,Rača,Pastierska,pastierska
284,Staré Mesto,Patrónka,patronka
285,Ružinov,Pažítková,pazitkova
286,Ružinov,Čierny les,ciernyles
287,Rača,Pekná cesta,peknacesta
288,Dúbravka,Pekníkova,pernikova
290,Ružinov,"AVION, IKEA",avionikea
291,Podunajské Biskupice,Petőfiho,petofiho
292,Jarovce,Píla,pila
293,Nové Mesto,Pionierska,pionierska
294,Ružinov,Plynárenská,plynarenska
295,Lamač,Pod násypom,podnasypom
296,Lamač,Podháj,podhaj
297,Podunajské Biskupice,Podzáhradná,podzahradna
298,Dúbravka,Polianky,polianky
299,Podunajské Biskupice,PD P. Biskupice,pdpbiskupice
301,Devínska Nová Ves,Kamenáče,kamenace
302,Staré Mesto,Poštová,postova
303,Ružinov,Povodie Dunaja,povodiedunaja
304,Staré Mesto,Povraznícka,povraznicka
305,Vajnory,Pračanská,pracanska
306,Staré Mesto,Pod stanicou,podstanicou
307,Staré Mesto,Landererová,landererova
308,Ružinov,Nemocnica Ružinov,nemocnicaruzinov
309,Záhorská Bystrica,Pri krematóriu,prikrematoriu
310,Dúbravka,Pri kríži,prikrizi
311,Vajnory,Pri mlyne,primlyne
312,Nové Mesto,Pri nadjazde,prinadjazde
313,Karlova Ves,Pri podchode,pripodchode
314,Vajnory,OC Vajnory,ocvajnory
315,Staré Mesto,Suchý mlyn,suchymlyn
316,Devínska Nová Ves,Rakyta,rakyta
317,Devín,Pri záhradách,prizahradach
318,Ružinov,Pri zvonici,prizvonici
319,Rača,Pribylinská,pribylinska
320,Lamač,Pridánky,pridanky
321,Podunajské Biskupice,Priekopnícka,priekopnicka
322,Rača,Mikulášov dvor,mikulasovdvor
323,Lamač,Pod Zečákom,podzecakom
324,Ružinov,"Prievoz, most",prievozmost
325,Ružinov,Prievozská,prievozska
326,Ružinov,Nákladný prístav,nakladnypristav
327,Ružinov,Prístavná,pristavna
328,Ružinov,Prístavný most,pristavnymost
329,Podunajské Biskupice,Plniareň plynu,plniarenplynu
330,Staré Mesto,Prokopa Veľkého,prokopavelkeho
331,Rača,MiÚ Rača,miuraca
332,Nové Mesto,Račianske mýto,racianskemyto
333,Ružinov,Rádiová,radiova
334,Ružinov,Radničné nám.,radnicnenam
335,Staré Mesto,Radvanská,radvanska
336,Staré Mesto,Rajská,rajska
337,Nové Mesto,Riazanská,riazanska
338,Vrakuňa,Ríbezľová,ribezlova
340,Petržalka,Romanova,romanova
341,Nové Mesto,Shopping Palace,shoppingpalace
342,Rusovce,Gerulata,gerulata
343,Petržalka,Rusovská cesta,rusovskacesta
